1,"Love the causal looks. I would love to see more videos like this. I’m a stay at home mom so doing school drop-off/pick up and lots of after school activities. Blazers are not practical as much I love them (and have lots of them from my work days), so I’d love to see more casual practical pieces being styled (hope that make sense). Love your videos and your style ❤"
0,"10:37 - Love this cardigan. Reminds me of the popular Khaite cardigan that was so popular a few seasons ago. 
14:32 - Great look to add a same color cardigan as a layering piece. Love navy blue!
Another thing I want to add to these basics with a twist is the &Other Stories top. It's the Draped Asymmetric T-shirt. Recently purchased it in white, but there are other colors too! Selling out quickly!"
1,I absolutely love your basics video! They are so inspirational!
0,I love the pair of sunglasses. What is the brand and model no?
4,Yes please more casual recommendations… 90 percent of my life is casual and errands…
2,"These day to day casual looks are wonderful...and so helpful.  I love your style, Lydia, and it is great to see your talent out to these casual looks."
4,I’m so disappointed that these pieces don’t size beyond a large.  What do you recommend for size inclusive options?
0,I just found out that ASOS carries a small selection of Arket. Shipping worldwide.
13,"Lydia, my 7 y/o watched you for the first time and this video. She loved all the looks, asked me, ""is this where you get that idea from"" 😊 and mentioned how pretty you are 😊."
0,"So wish Arket would ship orders to the United States. I've messaged them several times but they will not. Maybe...Lydia you could influence sway Arket to do so? They would have a strong market in the U.S.  

And if you would influence COS and other brands to offer larger sizes to  EU 46 or 48...US 16 and 18.  There's a whole market of larger sized women in the world 🌎   Not all of us wear size Small/Medium.  If you noticevin your own Nakd collections the size 44 sells out quickly.  A Size 46 and 48 are needed!"
0,"Ohhhhh I wish they'd ship to US, any alternative suggestions? Especially for the barrel leg jeans."
1,"I like that the t shirts have a bit “longer” short sleeve, which is nice and I found it more attractive. Especially after a particular age, when you feel, that your arms are not necessarily the best features to showcase. Nice collection! Thank you."
5,"I love barrel jeans - they are extremely flattering if you get that ""just right"" shape. I also love the Khaite inspired cardigan. I love the casual looks. Thank you, Lydia!"
0,I loved everything!
2,Love all these outfit formulas even though we don't get Arket here in the states. That slim cardigan is lovely.  I will have to get more long sleeve cotton Tees. I especially like the look when you put the navy cardigan over the tees.
0,Consider a video to prepare for winter 2025.
4,Love these casual looks! Where I live these kind of outfits will be great to transition to fall when temps go down a little. At this time we have mid 90s F° so we are all wearing sleeveless tops and trousers in lightest weight linen. Just the thought of a sweater makes me wish I lived in the UK! 🫠😋
1,I like everything you showed.
1,Please use brands available in the USA. Thanks.
30,"I am 5ft 1/2 inch tall and my pair of barrel pants that I purchased last year are one of my favorite silhouettes on me. I wear them on repeat with many different tops. At my stage in life (68 years old), I prefer my styles to be more relaxed and comfortable with a bit of structure as you are showing here. I recently purchased a pair of ""summer"" brown suede ballet flats and I can't wait to wear them. You are such a fabulous styling inspiration."
5,Very practical help. Thank you Lydia. I might even give barrel jeans another try.
1,Bravo Bravo Bravo
2,Great ideas for real everyday life ❤
0,"COS has great quality, too. So great to have middle range brands that still do great quality affordable."
7,I’d love more comfy and casual for those of us who want to look smart but have little ones!
4,i love your style 💗
1,"love this video, top notch, thank you"
0,😍😍😍
2,"“I saw Cady Haron wearing jogging pants and flip-flops, so I brought jogging pants and flip-flops “"
4,Oooh the navy cardigan is a classic winner!😎
0,Absolutely love this!!!
0,I struggle trying to choose the right bag to add to my wardrobe! Especially as I'm still building my wardrobe and don't have much. I tend to always lean black but I'm trying to branch out into other colors.
0,"I really enjoyed seeing you going through the whole process of deciding whether it works or not. Great video , as always. thank you!"
0,I seriously dislike the light coloured jeans this time.   It’s colour and shape.
0,Ditto about loving the way you styled these capsule pieces by adding the right color and textures to add pizazz ❤
0,I looove your style and how you show us how to style basics!!!!!
0,"Hi Lydia, what do you think about small understated handbag charms? Like a gold initial or simple chain with a medallion? They are very popular in the southern part of the US and in California, especially worn with a plain classic leather handbag that has no pattern or statement logo. Thanks if you can answer!!😊"
0,This was a great style of video. Loved all the looks. Have you shown any outfits with a triangle silk scarf tied at the waist. I would love to see you styling that look. ❤🎉
0,"I love the relaxed, conversational style of this video."
0,I would definitely love more of these video’s! I love the mixing and matching options so helpful thank you.
0,I love this type of video when you are sharing ideas and process to build an outfit ❤
0,I appreciate you including your decision process .. it’s helpful to see and hear the how’s and why’s that help you come to your final choices. 🤩
0,I completely adore the modesty and simplicity.😊
0,Great video thanks. It was helpful to hear your thought process when deciding between pieces…and why/when to switch pieces when they’re not quite right. Love it ❤
1,"Love the format, very helpful to see the process and rational behind how you put an outfit together!"
0,I love these videos they are so helpful ❤
0,Really enjoyed seeing your thought process!
0,Hellooo yes more videos like this
0,I love this — thank you so much! Would you consider more outfits with short sleeves for summer? I am no longer comfortable with sleeveless.
0,Usefull video! I would love more videos like this <3
1,Love this video. And that white maxi tee shirt dress.
